Edmund L.,"Arlington, VA",4/12/2017,4.0,"One of the top late night Korean restaurants in the Northern Virginia area and a favorite of mine since I was an undergrad in college.You'll notice this restaurant standing out with it's neon sign across from Little River Turnpike. It's a popular late night drunk spot for the young asian crowd. Whatever you decide to order the servers will bring over a plethora of banchan (appetizer side dishes) I recommend the dried baby fish and cold mashed potatoes. For the main dish..the most popular ones are the Korean BBQ entrees such as the galbi and bulgogi. I've always been a fan of the galbi (marinated short ribs) as it is such a juicy and tender piece of meat.In terms of price..it is on the pricier end as a dish averages to be around $20. I know people say there are much better Korean restaurants in Annandale than Yechon but as a late night spot it can't be beat...I prefer it over Honey Pig. The only complaint is the servers here aren't very attentive which seems common among restaurants run by the older Korean population. However, if you're looking for a good place to eat in Northern Va after a night of drinking, this place is highly recommended."
So U.,"Alexandria, VA",7/28/2017,3.0,"8pm Friday night after a long day at work, I wanted cold beer, soju and Korean BBQ. Unfortunately for us, Kogiya didn't have a table available until for 2.5 hours when called to be put on the waiting list. After thinking of options nearby, we decided on Yechon. To make a long story short -- the haemul pajeon was great, no problem there. Their Yechon Special Galbi was a different story. When the lady brought it out, it was not steaming, not sizzling, and the hot plate was not hot at all. Why did they go through the theatrics of serving it on a hot plate if it wasn't sizzling in the first place?  The bone-in portion of the meat was warm to the touch.  (Literally, I was holding the bone in my hand...easily handled). The hot plate was touchable, meaning it wasn't even close to hot. I wasn't disappointed. I was mad because it felt like they were trying to pull a fast one on me. Why the theatrics?  The hot plate was warm. The meat looked like it's been sitting there for a while. No visible steam. No audio feedback. Just flaccid, gray meat! Maybe an erroneous order for another customer recycled to fulfill mine?  So many scenarios racing through my mind. I've been to countless Korean BBQ restaurants in the past but never have I experienced a serving of lukewarm galbi. I give them three stars for the service because the lady who saw me touching the hot plate understood immediately that we were not happy with the dish. After an offer to bring out a fresh plate of galbi and my subsequent refusal (because I was ready to leave at that point) she returned with the bill with the galbi taken off. High expectations, thoroughly disappointed."
Jackie C.,"San Francisco, CA",6/20/2017,2.0,"I know Yechon is a favorite for many folks in the nova area, but I personally have not had good experiences during the times I went. This most recent visit was similar to past ones. The pros are that Yechon is 24/7, much better parking than in the past, and diverse types of Korean and Japanese food to choose from. Unfortunately, the cons list is much longer. Service is terrible here. I don't blame the workers, as I can see they need more servers and are heavily overworked. But it does cause unhappy customers as well. Half of my family got their dishes in a reasonable amount of time, and the other dishes still did not coming out after 45 minutes! We asked the servers several times where the rest of the dishes were, and it was very apparent that the other dishes were forgotten and not made.. it finally came out an hour from being seated. It was hard to request more side dishes or even ask for water refills as the servers rarely came by our table. Again, I understand it was extremely busy and the servers were overworked. But something should be done about it and they should hire more servers.On top of that, I personally do not think the food is good. Maybe it's me being Korean-American and having a high standard for Korean food, but I would rather get my Korean food elsewhere. I ordered a galbi-jjim bento box. Most of the galbi-jjim had fat covered around it, the salad was extremely old lettuce and super soggy, and the tempura vegetables were rock hard. Not very appetizing to me. I would suggest a different restaurant in Annandale if you want authentic Korean food."
Fred K.,"Rockville, MD",1/25/2017,4.0,"Been going here for decades as it is the closest Korean restaurant off 495 and is open 24 hours a day.  From my earlier party/clubbing days and eating late night eats (spicy chap chae and dubu kimchi!) to now my more docile family man life, this place is usually very consistent with their food quality with good size portions. Not to mention, there quantity and quality of their banchan is better here than most (love them korean style mashed potatoes!). I usually get their yuk kwe jung(spicy beef soup) or spicy galbitang soup when coming here.  Cant go wrong with either dishes. They also have a full sushi counter and a limited Japanese menu (teriyaki and udon soup).  If coming here for lunch, they have both korean and sushi bento boxes and a separate korean lunch menu too, that is slightly cheaper than their regular menu. They expanded their parking lot finally!  Ample parking for this restaurant now.  The servers speak and understand English fairly well too, so good for novice to eating Korean cuisine.  Solid, good place if in the mood for Korean food."
Mary N.,"Alexandria, VA",6/25/2017,4.0,"The good:Friendly wait staffBanchan for daysReasonable pricingThe bad:Interior needs updatingNot the highest quality meatAn excessively large menu As far as 24 hour joints go, Ye Chon ranks pretty high for me. The food quality is pretty good and fresh, although the meat isn't the best in the world (it's not bad, however). They have a really large variety of banchan, all of which is pretty good, though their kimchi is a little on the chewy side. On our most recent visit, my husband and I ordered:BulgogiChicken teriyakiCalifornia rollI'm kind of sad the bulgogi is cooked in the kitchen rather than tableside, but I guess I don't need theatrics at every meal. The chicken teriyaki was quite good, and the broccoli served with it was super fresh. The California roll was exceptionally average, and I'm not sure I'd order sushi in the future. One of the leaves of lettuce served to me had a small (living) insect on it, and when I brought it to the server's attention, she was very apologetic and got me new lettuce. I'm unphased by things like that because produce gets bugs sometimes. I washed bugs out of my lettuce just the other day, and I appreciated her quickness to rectify the situation (if we can even call it that). I'd like to try other menu items in the future, but I can definitely recommend the bulgogi or Chadolbaegi (cooked tableside)."
Marivic L.,"Washington, DC",2/6/2017,4.0,"Yechon has been my (and a lot of other peeps') go-to Korean place for a while now and you know it when you try to get a seat here on a Saturday, but you wait because you know the service is friendly and attentive and the food is consistent. This time, we got the special galbi (as usual), some sushi  , and fish which I think was croaker. The fish was a new dish for me here and it was flavorful and moist. I'd definitely get it again.So, once again the service was good, the old standbys were delicious and now I have another dish that I can count on."
Justin P.,"Silver Spring, MD",3/17/2017,4.0,"Great spot to eat! Open 24 hours which makes it even better! A Korean friend of mine told us about this spot, ordered our food for us and it was definitely way different from your traditional KBBQ spot. They do have BBQ options to choose from, but we ordered some stuff where you can order as a ""family style"" portions and dishes for people to just pass around and share. I am definitely not sure what it was called but it was basically lettuce wraps with different toppings or things to add per wrap. Then we got Japji Korean noodles, bulgogi, and some other soup too. Just take a look at the pictures I post.This place doesnt disappoint. You will of course get your sides and rice and all. But I will definitely come back."
Lillian L.,"Annandale, VA",5/30/2017,1.0,"Haven't come back here in awhile because of their terrible service. Only came before because they are open late and I hadn't discovered all the other great Korean restaurants of Annandale. Their food is mediocre. Service is horrible. This has been the ONLY restaurant I have been to in my entire life where the server TOLD US WE HAD TO LEAVE. We did nothing wrong. We ate, asked for the check, paid our check, and we were talking about where to get dessert as our server comes over, collects our checks and tells us we have to go because they are on a wait. We hadn't even been sitting for longer than a minute from when she gave us our check back. LIKE SERIOUSLY? Who does that?!? Not to mention they were cleaning our table as we are STILL SITTING THERE! So blown. Learn how to be respectful to your customers!!!!!!!! For that reason alone, I would never return here."
Alex N.,"Montgomery Village, MD",6/5/2017,5.0,"This is one of the long-time anchors of ""Koreandale"" (Korean community in Annandale)  open 24 hrs serving authentic Korean & Japanese dishes.I love the traditional ambience and traditional outfits worn by the servers.I love the lunch boxes - good size serving of spicy pork, kalbi beef short ribs, etc. entrees served with portions or rice, tempura and veggies. Very filling, tasty and balanced meal.I also like the bibimbap mixed rice bowls."
Kim A.,"Silver Spring, MD",6/1/2017,5.0,Yummy Korean food and fresh banchan they are opened 24 hours and the people who works here are nice.But after a certain time they stop serving cold noodles and sushi
Danny J.,"Manassas, VA",9/7/2017,5.0,Once in a while is always good! The restaurant is always full! There is always a waiting line at dinner time. But it was worth it because the foods were very good. I love asian foods and it never disappointed me
Faye C.,"Philadelphia, PA",5/28/2017,2.0,"Such a disappointment. Stop by here on our way to Shenandoah national park since it has such great reviews but it was a huge disappointment. When we arrived to the restaurant it was packed but we only had to wait 15 minutes. We finally got sat and was So excited to try the food.   My friend and I ordered raw beef (yuk hwae), squid stir fry and Galbitang (short rib soup). Only thing that was good was the side dishes (banchans). The yuk whae was prepared differently than I was used too but I thought it was their own way of making it but as I keep eating yuk whae smothered in gochujang, I really didn't understand why it was prepared this way. The soup was flavorless and the stir fry was okay. Maybe because I am Korean and I know how certain food should taste like but this place was such a disappointment"
Anita W.,"Silver Spring, MD",7/16/2017,4.0,"Excellent Korean and sushi, but very crowded. We were luck to seat our large party. We went here with John and Kat - this is in their neighborhood."
Cindy L.,"Washington, DC",4/30/2017,3.0,"I get that staying open 24 hours is a huge draw especially since most of the smaller restaurants in Annandale close around 10pm, but I've been here twice now and am not quite sure I understand the hype or popularity of this place...Most of the food I've ordered has just been so-so. I've tried one of the casseroles, which was kinda bland not to mention had a super high intestine-to-everything-else ratio. At one point it felt like every bite was just a mouthful of intestine... Also had their galbi and beef tongue for kbbq - wasn't too impressed with either one. It was pricey for the amount and quality of the meats. I'd recommend Oegadgib/Kogiya (all you can eat) or Honey Pig for better value and taste kbbq.To end on a high note though, their bo ssam and seafood pancakes were pretty delicious!"
Yujin H.,"Fairfax, VA",12/23/2016,3.0,"Friday dinner, my mom and I decided to stop by yechon. We got the yechon special menu 1 which includes sashimi, dumpling soup, korean short ribs, mung bean pancake, mackerel, bean paste stew, and healthy rice.The place was packed and it took a little bit before we got seated. The food was overall good but we could probably find other restaurants near by that could do everything better than they do. However, it's not often I can find some place that does course work like yechon does. My biggest complaint is customer service. We were given one menu between the two of us and we felt so rushed to order. The ladies are running around frantically and the environment is just so hectic. It definitely wasn't a comfortable meal and we weren't checked on at all. The only thing yechon can boast is it being 24/7. Honestly when you walk in, half the customers at the restaurant aren't korean and that should already be signs that they're not really good at specializing; they're just good at providing a wide range of food.If you want good food at any time of the day, this is ur place. But if u want great food, I'd recommend looking elsewhere first."
Eli N.,"Columbia, MD",5/3/2017,4.0,"Wow...walked in to this place looking for something quick and it looked like I'd be there forever. Well, let me tell you...I was there a total of about 20 from the time I sat to the time I left. The service was super fast! The place was semi-packed but they got me in and got me out. The food was good but I'd want to go back and try something else. The menu, super extensive. You'll never get through it. Let Yelp pictures or the pictures on their menu guide you to what you want to eat. I ate some crazy stuff in my bento box but it was all good, I tried it all in there. The pricing was cheap for what I got. Oh yeah, When I walked in, I thought I would have a hard time communicating because every single person in there, customers, were all Korean or Japanese and there were a lot of them. Of course the staff was Korean/Japanese and spoke hardly any English. Now that's, authentic. I do feel like if they took a little more time to prep the food it may be better. Don't get me wrong, it was good but I felt it could have been better. Oh yeah, at the end of my meal, they gave me this sweet water drink to wash away the spicy and spices of the food and that was super interesting and cool."
Lauren P.,"Las Vegas, NV",8/23/2017,1.0,"The food was okay, the service was awful. There were a lot of flies buzzing about while we were eating, which was gross but probably can't be helped. My dad and I ordered one bulgogi each. Being used to all-you-can-eat Korean BBQ places, I was disappointed with how small our portion sizes were, especially compared to the high prices. We asked to be seated at a table with a built-in grill but were denied. Instead, they brought a rickety table-top grill out and proceeded to refuse to let us cook out own food. I've been to some restaurants where the waitresses cook your food, and I get that, but our waitress set our meat up on the grill then walked away, which would lead anyone to believe that it's up to you to cook it, right? As soon as I picked up the tongs to check how it was cooking, she rushed back and ripped the tongs out of my hand to cook it herself. It was really awkward. I asked if I could get some dipping sauce for my bulgogi, because every KBBQ place I have ever been to has had sauce on the table, and they didn't seem to understand what I was saying. They wound up giving me some sesame oil, which obviously didn't add much flavor. I just found the service to be really rude. I sat at the table for over 20 minutes without a drink refill. Waitresses would walk by with new full glasses of water for people with half-full glasses already on their tables but wouldn't acknowledge me when I tried to get their attention. We couldn't get our check for over 30 minutes. When we finally got it and put our card in the little booklet, they rushed it to the register and back out immediately and seemed to be trying to push us out the door. We were the only Caucasians in the restaurant, and I don't know if that contributed to how we were treated, but I lived in Asia for over 5 years and was never treated like this before. It was an overwhelmingly awkward and unpleasant dining experience."
Andrei C.,"Burke, VA",8/30/2017,4.0,"This place never disappoints. The food quality is always good. The service is a bit odd, as there are a bunch of women in Korean dress who mill around and attend to your table in some kind of random pattern. The only drawback is that at dinner time you can't park in their tiny lot and the line can be more than 45 minutes. Some of their pricing is a bit high, but if you only go there once in a while, that is not a problem.Sushi is very expensive, about double what you pay in a decent sushi restaurant, but a fair number of the Korean dishes are generally affordable."
Christina F.,"Annandale, VA","7/14/2017
            





Updated review",3.0,"I've been here many times from dinner to late night and the service always disappoints. You can just see them all standing around and no matter how much you wave they won't notice. Thank goodness for their buzzer or no one would ever come. We had asked several of the staff for more than one side out more sauce and they'd always forget one or the other. Food is overpriced compared to other Korean restaurants in the area. Their BBQ is good but definitely overpriced, can go to so many others for better prices and better meat quality.Their goat soup is delicious! The ground beef bibimbap is alright.However if you are looking for late night eats on Annandale especially if it's after 2 am this is one of the only places that are open 24/7."
Barbara P.,"Reston, VA",3/5/2017,1.0,"After a very meh food experience a few years back that warranted maybe 3 stars, I came back again due to some friends' enthusiastic recommendation. Don't bother guys-- if you're here during a busy hour and customers are dispensable, the host will order you around like herd of cows in this overhyped restaurant, just short of saying ""move out of the way."" This would not have been the case if we were Korean or white. Not coming here ever again."
Hwal L.,"Roanoke, VA",9/5/2016,3.0,"Any restaurant open 24 hours is expected -by me- to have something special about it that makes it possible for them to be able to afford that distinction. I mean I expected something great, and I got something good, not great. It was Saturday night around 9:30 and the place was packed, and I talked to the person in charge and got us a buzzer. He said 20-25 minutes. We finally got a table and ordered bibimbap and galbi dolsot -hot pot- bibim. Someone dropped us two cups of water, serviettes, and spoons but didn't asked for drink orders, although we weren't planning to. A few minutes later seven side dishes arrived, and of course we immediately dug in. The potato salad was plain and pointless, but the rest were good to great. The eggplant and seaweed were the best! Another few minutes and we got our food, and here's the deal. It's not easy to mess up bibim, but Yechon's wasn't the best. They skimped on veggies for galbi bibim, and although my plain bibim was better, the ingredients were not up to par -it should have had more of everything-. What was good was the busy atmosphere, but frankly, I'm in no rush to go back. Breeze, however, is the bomb!"
Lynn F.,"Fairfax, VA",2/12/2017,4.0,"I really liked the food here! Super yum and I love the banchan that are given as well! The only reason I bring it down is the service. They were kind of slow. Also, the menu is HUGE and a little overwhelming with some items being way too expensive.So, we get seated and we are served barley tea. It's pretty good and I like all the complimentary items that they give. I decided to get the tofu spicy soup with seafood, and my friends get the salmon teriyaki bento box, and my other friend gets the bulgogi. The soup was fantastic!!! My only problem was, there was no egg!!! I really did like the soup because it had so much flavour and it was spicy! I also liked the tofu and it was really hot and delicious. I just wish it had more seafood. But the seafood that it did have I really liked. It was a good size too and I couldn't finish it. It was worth its price.The salmon teriyaki box was really big!! They had the salad, the big piece of salmon, sushi bite, and tempura. It was a lot and it was definitely worth the cost.The bulgogi was a lot too and it was different. The portion was a lot as well and I liked that. It had a sweet chili taste and I actually really liked it. Here, all the food was really good and I would definitely go back here again."
Tara L.,"Washington, DC",8/3/2016,4.0,"For quick, simple, comfort food, nothing quite hits the spot like Yechon.Since I don't live nearby, it's never really been a late night go-to for me. However, I love grabbing lunch here from time to time and love, love, love to bring Korean BBQ virgins here. There is just so much to explore and enjoy. Of all the meats to feast your eyes and canines on, the Yechon Special Galbi is by far my favorite, sweet and savory treat. (With the bulgolgi, a close runner up.) If you're feeling adventurous and don't feel like going too heavy on the red meats, I'd definitely suggest something from the ""Yechon Specials"" menu. The Yechon Special Menu #1 offers a heaping amount of food for two people, and included a nice spectrum of items: sashimi, dumpling soup, shredded beef ribs, bean pancake, bean paste pot stew, broiled mackerel and mixed rice with dates and ginseng. If you come on the weekends, just come prepared to wait for a bit - it can get pretty popular Friday-Sunday."
Brendan B.,"Davis, CA",8/30/2017,5.0,"This place is amazing, delicious and much classier than you'd expect being that it's Open 24 hrs with neon signs out front.Had the spicy beef bim bim bop and it was flavorful and filling. Enjoy!"
Scott M.,"Vienna, VA",10/21/2016,4.0,"Been to this place many times for dinner, lunch, and Korean BBQ... finally time for a review. The sides for the Korean BBQ are pretty typical and they are all fantastic, if you order two or more items you can have it cooked in front of you.  They cook over a grate that has oil under it which is heated with gas...not charcoal like you'll find in Korea or on my deck in the backyard.The lunch prices for the bento box (container...sts) is a steal and the food is great, lunch runs until 230pm(local).Favorite part was the sugar water drink at the end ;)"
Tabby E.,"Hyattsville, MD",7/21/2017,5.0,"Open 24hr? That could mean alot of things, but it means 1 thing at Yechon; Fresh tasty food no matter what time it is!  Everything was good & will definitely return for more"
Wen F.,"Gainesville, VA",9/26/2016,4.0,"When I'm craving Korean BBQ in the NOVA area and not looking for a buffet, Yechon is my go-to. When it comes to appetizers, I think Yechon has the best seafood pancake I ever eaten... period. If you have any hesitations about appetizers, go for the seafood pancake... you'll love it! I always love all the extra Bonchon that comes with your BBQ as well as the extra lettuce wraps that they give you. I do wish that they have the in-table BBQ vs the hot plates since this is a BBQ place and I just like the overall experience of a built in table BBQ more. The service is generally pretty good as well, they will grill and cut your meat for you while you chow down on apps and side dishes. I do prefer to grill my own meat tho since I love the entire experience of cooking it to the temperature that I like. I always make sure don't cook it all at once (sometimes the staff does this) since it might get cold once they take it off the grill. If you are in the Annandale area and craving Korean BBQ this is the spot to be."
William G.,"Palos Verdes Peninsula, CA",6/26/2016,5.0,"As the Saturday was coming to a close, my buddy and I decided to check out a Korean restaurant in the vicinity. After consulting Yelp, I found this place. It was a short 15 minute drive from where we were.Parking was no issue, and neither was the wait to sit down. It was a busy night for them, but they got to us fast. We sipped on water while we decided on what to order. We chose the beef ribs and the spicy chicken. They brought a portable grill to our table and cooked the meat for us. The side dishes added a good complement, as the kimchi and sprouts helped amplify the spicy flavor. After we ate everything, we sipped on some tea (I forget its name). The experience was great, and the meal hit the spot. I would recommend this place."
Veronique L.,"Washington, DC",1/18/2017,3.0,"I'm torn between two and three black stars here. I have definitely experienced better in terms of quantity and quality. For example, the galbi was $30, and there was very little galbi offered. We didn't even have the bbq cooked at the table (which we agreed to only because we weren't seated at a table where there was a bbq). The bulgogi was a big pile of meat, but nothing stood out about it except that I am glad we ordered it otherwise we would have been left starving if we shared the galbi. For $60 (tip included), I felt it was overpriced. I will say that the banchan was varied and surprisingly delicious. They offered some of my favorites, including this potato salad thing, kimchi, mung bean? paste, and lettuce. The women's restroom is clean but only had one sink. It was only a problem because after I finished, the worker who was brushing and flossing would not move so I could wash my hands. As soon as she moved an inch, I washed my hands. She then moved right back to brushing her teeth in front of the mirror. It was awkward. Also, the workers didn't come by to check on us at all. The one guy who cleared off the tables rushed in as soon as we got up, and people only talked to us when they gave us the check. My dining companion never got a refill of the barley tea that was finished about halfway through. We'll most likely not be back especially since there are so many other options in the area."
Vicky L.,"Arlington, VA",8/9/2016,3.0,"The best thing about Yechon is that it's 24/7. There are some things about Yechon that I really enjoyed but other components were meh for a lack of better words that made my entire experience mediocre.We ventured to Yechon late on Friday night and the restaurant was decently packed for 11 PM but there's plenty of seating to go around. Our waiter was fairly unhelpful/unfriendly when we were asking about suggestions of what to order and in general, he seemed like he didn't want to be there. Later in the meal, I saw him arguing with a patron and though I couldn't overhear the context, it definitely should not have escalated to that point. We ended up ordering the Seafood Pancake, Monkfish Stew and Galbi. Banchan/side dishes came out and of all the Korean restaurants I have been to, Yechon has pretty decent ones (+1 for Yechon). The Seafood Pancake came out first and it was pretty massive for 3 (no pictures because we ate half before we remembered) but I definitely recommend ordering it - hits the spot if you're craving it! I can't remember if the Galbi or Monkfish Stew came out next but I didn't really like the Monkfish Stew. It was a little on the watery side in terms of flavor and I wish we hadn't ordered it. The seafood in the stew in general didn't seem fresh and was super fish-y smelling - in general, not very appetizing. The Galbi came out sizzling hot on a stone plate so I do recommend ordering that.Overall, not bad but leaning more on the unsatisfactory side of things. If Yechon wasn't next to Breeze Bakery, I probably wouldn't stop by as frequently but maybe just stick with what you know is good."
Hanna K.,"Annandale, VA",8/10/2017,4.0,Open 24/7 and they also expanded their lot so you no longer have to struggle to find parking. Their food is also very good!
